City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,vallenar,-28.5708,-70.7581,71.89,59,0,2.68,CL,1680219438
332,elverum,60.8819,11.5623,21.54,98,100,2.75,NO,1680219438
333,pevek,69.7008,170.3133,10.33,79,100,14.36,RU,1680219929
334,san jose,37.3394,-121.895,60.15,58,40,11.01,US,1680219401
335,gweta,-20.1833,25.2333,72.3,59,60,11.7,BW,1680219439
336,clarence town,-32.5833,151.7833,68.95,43,0,8.97,AU,1680219439
337,sinjhoro,26.0303,68.809,69.87,49,12,4.81,PK,1680219439
338,katsuura,35.1333,140.3,60.8,75,100,10.2,JP,1680219728
339,arrecife,28.963,-13.5477,78.78,29,0,25.32,ES,1680219439
340,stornoway,58.2093,-6.3865,43.93,93,98,0.0,GB,1680219440
341,pailon,-17.65,-62.75,83.88,91,82,3.98,BO,1680219440
342,assiniboia,49.6334,-105.9845,28.22,64,65,11.5,CA,1680219440
343,bardiyah,31.7561,25.0865,55.92,66,0,10.89,LY,1680219440
344,floro,61.5996,5.0328,37.36,81,100,3.44,NO,1680219441
345,were ilu,10.6,39.4333,53.91,83,62,3.04,ET,1680219441
346,marrakesh,31.6315,-8.0083,73.47,31,0,4.61,MA,1680219441
347,san ramon,37.7799,-121.978,58.91,62,100,13.8,US,1680219347
348,alta floresta,-9.8756,-56.0861,78.62,89,100,2.3,BR,1680219441
349,pinawa,50.1489,-95.8811,27.72,84,97,3.8,CA,1680219442
350,guerrero negro,27.9769,-114.0611,60.98,51,3,19.53,MX,1680219442
351,arraial do cabo,-22.9661,-42.0278,75.22,90,88,10.4,BR,1680219442
352,kohlu,29.8962,69.252,55.26,73,100,1.88,PK,1680219442
353,caucaia,-3.7361,-38.6531,82.04,72,20,5.75,BR,1680219443
354,santa maria,-29.6842,-53.8069,72.7,94,0,3.44,BR,1680219443
355,korla,41.7597,86.1469,54.21,29,73,5.57,CN,1680219931
356,aykhal,66.0,111.5,-7.42,98,100,8.37,RU,1680219443
357,price,39.5994,-110.8107,40.26,45,75,9.22,US,1680219443
358,ulukulevo,54.4355,56.3221,35.85,60,83,9.22,RU,1680219443
359,oyama,36.3,139.8,58.59,70,71,2.66,JP,1680219444
360,palmer,42.1584,-72.3287,37.0,32,20,14.97,US,1680219444
361,aryiropoulion,39.8333,22.3,39.16,81,0,4.61,GR,1680219444
362,najran,17.4924,44.1277,74.05,51,38,4.5,SA,1680219444
363,richards bay,-28.783,32.0377,65.68,91,100,6.04,ZA,1680219444
364,owando,-0.4819,15.8999,70.66,98,100,2.42,CG,1680219445
